date,property_id,amount,description,account_code
2026-04-02,P-001,4800,P-001 Wi-Fi月額,
2026-04-03,P-002,4800,P-002 Wi-Fi月額,
2026-04-03,P-004,32000,P-004 清掃外注（4月分前半）,
2026-04-04,,128500,Airbnb手数料 4月分,
2026-04-05,P-001,8600,アメニティ補充（シャンプー・コンディショナー）,
2026-04-06,P-002,5400,シーツ・タオル補充 P-002,
2026-04-07,P-003,42000,P-003 エアコン修理,
2026-04-08,,38000,Instagram広告（4月キャンペーン）,
2026-04-09,P-005,22000,P-005 清掃外注（4月分前半）,
2026-04-10,P-006,7200,P-006 リネン補充,
2026-04-11,,18500,清掃費（物件名記載なし）,
2026-04-12,P-004,2400,物件巡回中のコンビニ弁当,
2026-04-13,P-001,15600,P-001 水道光熱費 3月分,
2026-04-14,,9800,オーナー様との会食（新宿）,
2026-04-15,P-003,3200,P-003 消耗品（トイレットペーパー・歯ブラシ）,
2026-04-16,P-002,28000,P-002 清掃外注（4月分前半）,
2026-04-17,,95400,Booking.com 手数料 4月分,
2026-04-18,P-005,18900,P-005 水道光熱費 3月分,
2026-04-19,P-004,12500,P-004 リネンクリーニング,
2026-04-20,P-006,52000,P-006 清掃外注（4月分前半）,
2026-04-22,P-001,3800,P-001 アメニティ追加発注,
2026-04-23,,8200,広告写真撮影 外注費,
2026-04-25,P-003,4800,P-003 Wi-Fi月額,
2026-04-26,P-004,16800,P-004 水道光熱費 3月分,
2026-04-27,,180000,物件家賃 P-005 4月分,
2026-04-28,P-002,5200,P-002 修繕（網戸張替え）,
2026-04-29,,1200,事務用ボールペン・付箋,
2026-04-30,P-006,22400,P-006 水道光熱費 3月分,
